"model","method","S","diff","alpha","volscl","optmized_value","convergence","C0","beta","q10_rh"
"conc_CanESM2","conc_temp-heatflux",3.86859925831403,1.00136018701811,1.88327731558315,1.04290003641886,0.200579795533827,0,NA,NA,NA
"conc_CCSM4","conc_temp-heatflux",4.09044119043733,4.33318578821653,1.12795017663646,1.02733165100153,0.200888306262073,0,NA,NA,NA
"conc_CESM1-BGC","conc_temp-heatflux",3.52072358128811,3.80984279485485,1.10283930299434,0.992995078049472,0.169986680347003,0,NA,NA,NA
"conc_CESM1-CAM5","conc_temp-heatflux",4.0926722964314,2.76110606163342,1.92567861472667,0.953555506209532,0.107098572373048,0,NA,NA,NA
"conc_CMCC-CESM","conc_temp-heatflux",3.12362750314638,2.57761088411886,2.40632527967492,0.211234749956393,0.395658610708708,0,NA,NA,NA
"conc_CMCC-CM","conc_temp-heatflux",3.54685727675023,2.69987311496029,1.74747173109132,-0.377193876641424,0.130315830872138,0,NA,NA,NA
"conc_CMCC-CMS","conc_temp-heatflux",3.93865348920738,2.70839429358951,1.78730225569295,-0.190016498565405,0.134865732254209,0,NA,NA,NA
"conc_CNRM-CM5","conc_temp-heatflux",3.14588288648904,3.70263189836265,1.35324611169294,0.931421070374281,0.141249027944872,0,NA,NA,NA
"conc_CSIRO-Mk3-6-0","conc_temp-heatflux",3.53587798407226,3.22540814616876,1.68749455092581,1.43544345079499,0.0909079543430015,0,NA,NA,NA
"conc_FGOALS-g2","conc_temp-heatflux",3.05040608837202,5.70019608025522,1.92916602314135,0.0737019630272031,0.121194103782244,0,NA,NA,NA
"conc_GISS-E2-H","conc_temp-heatflux",3.55053773169409,7.43321683559598,0.130067832157302,1.4451485101872,0.103208445398612,0,NA,NA,NA
"conc_GISS-E2-R","conc_temp-heatflux",2.88262739543666,9.28591004696354,0.854479240495029,1.458895552252,0.106877988757695,0,NA,NA,NA
"conc_IPSL-CM5A-MR","conc_temp-heatflux",3.94783930918848,2.05912665190129,1.18398915576799,0.920312534305482,0.0950578720916587,0,NA,NA,NA
"conc_IPSL-CM5B-LR","conc_temp-heatflux",2.99175842316793,4.63267907173243,0.507610813176063,1.53047675669791,0.140092130319083,0,NA,NA,NA
"conc_MIROC-ESM-CHEM","conc_temp-heatflux",7.40567710681697,8.06720895511286,1.16299508762635,1.37766563596694,0.231729768342693,0,NA,NA,NA
"conc_MIROC-ESM","conc_temp-heatflux",7.3026663033049,7.5126496305768,1.14677559618573,1.84384570515805,0.20169350614743,0,NA,NA,NA
"conc_MIROC5","conc_temp-heatflux",3.58666428404597,8.53115870115079,1.23987731963704,1.55476725511618,0.209658453163997,0,NA,NA,NA
"conc_MRI-CGCM3","conc_temp-heatflux",2.35965518130614,4.20157854628573,1.65835877103903,0.998071389011382,0.0852710061132276,0,NA,NA,NA
