"driven","model","sym_method","S","alpha","volscl","optmized_value","convergence","diff","C0","q10_rh","beta"
"conc","CCSM4","conc_clim_temp",2.38904794179375,1.37251337071047,0.37421716134143,0.162496965156543,0,0.05,NA,NA,NA
"conc","CCSM4","conc_clim_temp",2.72995169896614,1.29000320268487,0.507952947969479,0.16548254566067,0,0.6,NA,NA,NA
"conc","CCSM4","conc_clim_temp",2.95575421905985,1.24832150086198,0.605896155004425,0.167026744044556,0,1.15,NA,NA,NA
"conc","CCSM4","conc_clim_temp",3.15805205563463,1.21788670521161,0.692753013215379,0.168089293112517,0,1.7,NA,NA,NA
"conc","CCSM4","conc_clim_temp",3.35189904765567,1.19332085971361,0.772602616926662,0.168875025069117,0,2.25,NA,NA,NA
"conc","CCSM4","conc_clim_temp",3.54333791039988,1.17228941879773,0.846923906828403,0.169477923555831,0,2.8,NA,NA,NA
"conc","CCSM4","conc_clim_temp",3.73583278038321,1.15395424678047,0.916046015787246,0.169951212451351,0,3.35,NA,NA,NA
"conc","CCSM4","conc_clim_temp",3.93159156123685,1.13753022391168,0.981568797395225,0.1703286092334,0,3.9,NA,NA,NA
"conc","CCSM4","conc_clim_temp",4.13284241832455,1.12280594809865,1.04350601055363,0.170633254326108,0,4.45,NA,NA,NA
"conc","CCSM4","conc_clim_temp",4.34020172129178,1.10906702307117,1.10146936233382,0.170882040417046,0,5,NA,NA,NA
"conc","GFDL-CM3","conc_clim_temp",2.7152268637678,2.27481330403766,0.644020925563448,0.108585042955955,0,0.05,NA,NA,NA
"conc","GFDL-CM3","conc_clim_temp",3.28748024872158,2.19846866259241,0.818677185284858,0.107265216526988,0,0.6,NA,NA,NA
"conc","GFDL-CM3","conc_clim_temp",3.69830398666185,2.15681983728823,0.922973927709847,0.108344617189928,0,1.15,NA,NA,NA
"conc","GFDL-CM3","conc_clim_temp",4.09101446506534,2.12571017374446,1.01060420524371,0.10963650004542,0,1.7,NA,NA,NA
"conc","GFDL-CM3","conc_clim_temp",4.49173048431559,2.1003049285511,1.08872534294122,0.110911402778345,0,2.25,NA,NA,NA
"conc","GFDL-CM3","conc_clim_temp",4.91457004276771,2.07891977722298,1.1603948074763,0.112115107793493,0,2.8,NA,NA,NA
"conc","GFDL-CM3","conc_clim_temp",5.36918689112255,2.06030761954321,1.22756749430929,0.113235808769506,0,3.35,NA,NA,NA
"conc","GFDL-CM3","conc_clim_temp",5.86618160085347,2.04399568433948,1.29004740724223,0.114275193113721,0,3.9,NA,NA,NA
