"year","variable","ensemble","model","experiment","value","unit"
1850,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.592644244432449,"W/m2"
1851,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.750255544980367,"W/m2"
1852,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.309087912241618,"W/m2"
1853,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.700794100761414,"W/m2"
1854,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.881771107514699,"W/m2"
1855,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.422506372133891,"W/m2"
1856,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.249696413675944,"W/m2"
1857,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",-0.54598613580068,"W/m2"
1858,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.580866972605387,"W/m2"
1859,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.437045772870382,"W/m2"
1860,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.800824920336405,"W/m2"
1861,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",1.34116254250209,"W/m2"
1862,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.904878298441569,"W/m2"
1863,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",-0.0451291799545288,"W/m2"
1864,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.729728142420451,"W/m2"
1865,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.368552734454473,"W/m2"
1866,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.878325700759888,"W/m2"
1867,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.731004476547241,"W/m2"
1868,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.594680110613505,"W/m2"
1869,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.440938095251719,"W/m2"
1870,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.69605420033137,"W/m2"
1871,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.650782326857249,"W/m2"
1872,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.834022641181946,"W/m2"
1873,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.715166330337524,"W/m2"
1874,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.548250615596771,"W/m2"
1875,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.657718380292257,"W/m2"
1876,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.111735910177231,"W/m2"
1877,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.969247321287791,"W/m2"
1878,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.621296793222427,"W/m2"
1879,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.754463404417038,"W/m2"
1880,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.682035366694132,"W/m2"
1881,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",1.03160355488459,"W/m2"
1882,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.729244669278463,"W/m2"
1883,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",-1.01904722054799,"W/m2"
1884,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",-2.01174384355545,"W/m2"
1885,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.0625111361344655,"W/m2"
1886,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",1.64501748730739,"W/m2"
1887,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.716520508130391,"W/m2"
1888,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",1.10246862967809,"W/m2"
1889,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.805034041404724,"W/m2"
1890,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",-1.20133191347122,"W/m2"
1891,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",-0.285738706588745,"W/m2"
1892,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",1.20455914735794,"W/m2"
1893,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",1.48132961988449,"W/m2"
1894,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",1.1818235317866,"W/m2"
1895,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",1.27786551912626,"W/m2"
1896,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.781822244326274,"W/m2"
1897,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",1.05111881097158,"W/m2"
1898,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.99567570288976,"W/m2"
1899,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.544231792291005,"W/m2"
1900,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.935918033123016,"W/m2"
1901,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",1.08765140175819,"W/m2"
1902,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",-0.1167840162913,"W/m2"
1903,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",-1.97415769100189,"W/m2"
1904,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.234644691149394,"W/m2"
1905,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",1.1975019176801,"W/m2"
1906,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",1.22187362611294,"W/m2"
1907,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",1.38828638195992,"W/m2"
1908,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",1.17571351925532,"W/m2"
1909,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",1.18772199253241,"W/m2"
1910,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",1.10144897301992,"W/m2"
1911,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.955104569594065,"W/m2"
1912,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.374729514122009,"W/m2"
1913,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.356088958059748,"W/m2"
1914,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.896491050720215,"W/m2"
1915,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",1.46816231807073,"W/m2"
1916,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.701681613922119,"W/m2"
1917,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.720667739709218,"W/m2"
1918,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.933355242013931,"W/m2"
1919,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.904659728209178,"W/m2"
1920,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.904972950617472,"W/m2"
1921,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.227389653523763,"W/m2"
1922,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.29846602678299,"W/m2"
1923,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.937112549940745,"W/m2"
1924,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.878100156784058,"W/m2"
1925,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.79003927608331,"W/m2"
1926,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",1.06310242414474,"W/m2"
1927,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.861102163791656,"W/m2"
1928,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.334722797075907,"W/m2"
1929,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.335666954517365,"W/m2"
1930,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.79322941104571,"W/m2"
1931,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.882680495580037,"W/m2"
1932,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.430414547522863,"W/m2"
1933,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.714425265789032,"W/m2"
1934,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",1.03466735283534,"W/m2"
1935,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",1.21398041645686,"W/m2"
1936,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.761843303839366,"W/m2"
1937,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.977594090004762,"W/m2"
1938,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.939072370529175,"W/m2"
1939,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.768559734026591,"W/m2"
1940,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.30284188191096,"W/m2"
1941,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",1.3838950296243,"W/m2"
1942,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",1.07116754353046,"W/m2"
1943,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.835906326770782,"W/m2"
1944,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",1.10225987434387,"W/m2"
1945,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.766337633132935,"W/m2"
1946,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",1.00311855475108,"W/m2"
1947,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.895232160886129,"W/m2"
1948,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.821792503197988,"W/m2"
1949,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",1.12027378877004,"W/m2"
1950,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.567320624987284,"W/m2"
1951,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.601144472757975,"W/m2"
1952,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.838930487632751,"W/m2"
1953,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.955091993014018,"W/m2"
1954,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",1.6128901441892,"W/m2"
1955,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.703080614407857,"W/m2"
1956,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",1.54086331526438,"W/m2"
1957,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",1.35222040613492,"W/m2"
1958,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.801287611325582,"W/m2"
1959,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.723905682563782,"W/m2"
1960,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.875876059134801,"W/m2"
1961,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.906159579753876,"W/m2"
1962,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.947060247262319,"W/m2"
