"year","model","ensemble","variable","experiment","value","unit","problem_file"
1850,"BNU-ESM","r1i1p1","co2","esmHistorical",0.000429551873821765,"1e-6",NA
1851,"BNU-ESM","r1i1p1","co2","esmHistorical",0.000429900828748941,"1e-6",NA
1852,"BNU-ESM","r1i1p1","co2","esmHistorical",0.000429731793701649,"1e-6",NA
1853,"BNU-ESM","r1i1p1","co2","esmHistorical",0.000429848820203915,"1e-6",NA
1854,"BNU-ESM","r1i1p1","co2","esmHistorical",0.000430764863267541,"1e-6",NA
1855,"BNU-ESM","r1i1p1","co2","esmHistorical",0.000431053253123537,"1e-6",NA
1856,"BNU-ESM","r1i1p1","co2","esmHistorical",0.000430472806328908,"1e-6",NA
1857,"BNU-ESM","r1i1p1","co2","esmHistorical",0.00043104073847644,"1e-6",NA
1858,"BNU-ESM","r1i1p1","co2","esmHistorical",0.000431755994213745,"1e-6",NA
1859,"BNU-ESM","r1i1p1","co2","esmHistorical",0.000431944383308291,"1e-6",NA
1860,"BNU-ESM","r1i1p1","co2","esmHistorical",0.000433030159911141,"1e-6",NA
1861,"BNU-ESM","r1i1p1","co2","esmHistorical",0.000433057430200279,"1e-6",NA
1862,"BNU-ESM","r1i1p1","co2","esmHistorical",0.00043279942474328,"1e-6",NA
1863,"BNU-ESM","r1i1p1","co2","esmHistorical",0.000433011446148157,"1e-6",NA
1864,"BNU-ESM","r1i1p1","co2","esmHistorical",0.000433378270827234,"1e-6",NA
1865,"BNU-ESM","r1i1p1","co2","esmHistorical",0.000433555047493428,"1e-6",NA
1866,"BNU-ESM","r1i1p1","co2","esmHistorical",0.000433140725363046,"1e-6",NA
1867,"BNU-ESM","r1i1p1","co2","esmHistorical",0.000432959001045674,"1e-6",NA
1868,"BNU-ESM","r1i1p1","co2","esmHistorical",0.000433393084676936,"1e-6",NA
1869,"BNU-ESM","r1i1p1","co2","esmHistorical",0.000433949957368895,"1e-6",NA
1870,"BNU-ESM","r1i1p1","co2","esmHistorical",0.000433526089182124,"1e-6",NA
1871,"BNU-ESM","r1i1p1","co2","esmHistorical",0.000433388544479385,"1e-6",NA
1872,"BNU-ESM","r1i1p1","co2","esmHistorical",0.000433426321251318,"1e-6",NA
1873,"BNU-ESM","r1i1p1","co2","esmHistorical",0.000433706882176921,"1e-6",NA
1874,"BNU-ESM","r1i1p1","co2","esmHistorical",0.000435054913396016,"1e-6",NA
1875,"BNU-ESM","r1i1p1","co2","esmHistorical",0.000434955843957141,"1e-6",NA
1876,"BNU-ESM","r1i1p1","co2","esmHistorical",0.000434252404375002,"1e-6",NA
1877,"BNU-ESM","r1i1p1","co2","esmHistorical",0.000434508750913665,"1e-6",NA
1878,"BNU-ESM","r1i1p1","co2","esmHistorical",0.000435251044109464,"1e-6",NA
1879,"BNU-ESM","r1i1p1","co2","esmHistorical",0.000435489200754091,"1e-6",NA
1880,"BNU-ESM","r1i1p1","co2","esmHistorical",0.000436312489910051,"1e-6",NA
1881,"BNU-ESM","r1i1p1","co2","esmHistorical",0.000435816444223747,"1e-6",NA
1882,"BNU-ESM","r1i1p1","co2","esmHistorical",0.000435892579844221,"1e-6",NA
1883,"BNU-ESM","r1i1p1","co2","esmHistorical",0.000435811409261078,"1e-6",NA
1884,"BNU-ESM","r1i1p1","co2","esmHistorical",0.00043419495341368,"1e-6",NA
1885,"BNU-ESM","r1i1p1","co2","esmHistorical",0.000432938250014558,"1e-6",NA
1886,"BNU-ESM","r1i1p1","co2","esmHistorical",0.000432402332080528,"1e-6",NA
1887,"BNU-ESM","r1i1p1","co2","esmHistorical",0.000432125991210341,"1e-6",NA
1888,"BNU-ESM","r1i1p1","co2","esmHistorical",0.000432420347351581,"1e-6",NA
1889,"BNU-ESM","r1i1p1","co2","esmHistorical",0.000433639099355787,"1e-6",NA
1890,"BNU-ESM","r1i1p1","co2","esmHistorical",0.000435582129284739,"1e-6",NA
1891,"BNU-ESM","r1i1p1","co2","esmHistorical",0.000435006542829797,"1e-6",NA
1892,"BNU-ESM","r1i1p1","co2","esmHistorical",0.00043407068005763,"1e-6",NA
1893,"BNU-ESM","r1i1p1","co2","esmHistorical",0.000435889611253515,"1e-6",NA
1894,"BNU-ESM","r1i1p1","co2","esmHistorical",0.000436962669482455,"1e-6",NA
1895,"BNU-ESM","r1i1p1","co2","esmHistorical",0.000438175280578434,"1e-6",NA
1896,"BNU-ESM","r1i1p1","co2","esmHistorical",0.000438638817286119,"1e-6",NA
1897,"BNU-ESM","r1i1p1","co2","esmHistorical",0.000439435098087415,"1e-6",NA
1898,"BNU-ESM","r1i1p1","co2","esmHistorical",0.000439360679592937,"1e-6",NA
1899,"BNU-ESM","r1i1p1","co2","esmHistorical",0.000440010102465749,"1e-6",NA
1900,"BNU-ESM","r1i1p1","co2","esmHistorical",0.000441493175458163,"1e-6",NA
1901,"BNU-ESM","r1i1p1","co2","esmHistorical",0.000442391406977549,"1e-6",NA
1902,"BNU-ESM","r1i1p1","co2","esmHistorical",0.000442352727986872,"1e-6",NA
1903,"BNU-ESM","r1i1p1","co2","esmHistorical",0.000441111478721723,"1e-6",NA
1904,"BNU-ESM","r1i1p1","co2","esmHistorical",0.000440757168689743,"1e-6",NA
1905,"BNU-ESM","r1i1p1","co2","esmHistorical",0.000441085372585803,"1e-6",NA
1906,"BNU-ESM","r1i1p1","co2","esmHistorical",0.000440823787357658,"1e-6",NA
1907,"BNU-ESM","r1i1p1","co2","esmHistorical",0.00044161721598357,"1e-6",NA
1908,"BNU-ESM","r1i1p1","co2","esmHistorical",0.00044212507782504,"1e-6",NA
1909,"BNU-ESM","r1i1p1","co2","esmHistorical",0.000443026248831302,"1e-6",NA
1910,"BNU-ESM","r1i1p1","co2","esmHistorical",0.000442933320300654,"1e-6",NA
1911,"BNU-ESM","r1i1p1","co2","esmHistorical",0.000442568998550996,"1e-6",NA
1912,"BNU-ESM","r1i1p1","co2","esmHistorical",0.00044331606477499,"1e-6",NA
1913,"BNU-ESM","r1i1p1","co2","esmHistorical",0.000443769415142015,"1e-6",NA
1914,"BNU-ESM","r1i1p1","co2","esmHistorical",0.000444494507974014,"1e-6",NA
1915,"BNU-ESM","r1i1p1","co2","esmHistorical",0.000445836019935086,"1e-6",NA
1916,"BNU-ESM","r1i1p1","co2","esmHistorical",0.000447885657195002,"1e-6",NA
1917,"BNU-ESM","r1i1p1","co2","esmHistorical",0.000448118371423334,"1e-6",NA
1918,"BNU-ESM","r1i1p1","co2","esmHistorical",0.000448791775852442,"1e-6",NA
1919,"BNU-ESM","r1i1p1","co2","esmHistorical",0.000450434832600877,"1e-6",NA
1920,"BNU-ESM","r1i1p1","co2","esmHistorical",0.000451340631116182,"1e-6",NA
1921,"BNU-ESM","r1i1p1","co2","esmHistorical",0.000450434861704707,"1e-6",NA
1922,"BNU-ESM","r1i1p1","co2","esmHistorical",0.000450335355708376,"1e-6",NA
1923,"BNU-ESM","r1i1p1","co2","esmHistorical",0.000452296750154346,"1e-6",NA
1924,"BNU-ESM","r1i1p1","co2","esmHistorical",0.000452708918601274,"1e-6",NA
1925,"BNU-ESM","r1i1p1","co2","esmHistorical",0.000452357227914035,"1e-6",NA
1926,"BNU-ESM","r1i1p1","co2","esmHistorical",0.000453317596111447,"1e-6",NA
1927,"BNU-ESM","r1i1p1","co2","esmHistorical",0.000454052002169192,"1e-6",NA
1850,"BNU-ESM","r1i1p1","co2","esmHistorical",0,"1e-6",NA
1930,"BNU-ESM","r1i1p1","co2","esmHistorical",0.000453814951470122,"1e-6",NA
1931,"BNU-ESM","r1i1p1","co2","esmHistorical",0.000455311150290072,"1e-6",NA
1932,"BNU-ESM","r1i1p1","co2","esmHistorical",0.000456541369203478,"1e-6",NA
1933,"BNU-ESM","r1i1p1","co2","esmHistorical",0.000456241599749774,"1e-6",NA
1934,"BNU-ESM","r1i1p1","co2","esmHistorical",0.000456576381111518,"1e-6",NA
1935,"BNU-ESM","r1i1p1","co2","esmHistorical",0.000456379115348682,"1e-6",NA
1936,"BNU-ESM","r1i1p1","co2","esmHistorical",0.000455648230854422,"1e-6",NA
1937,"BNU-ESM","r1i1p1","co2","esmHistorical",0.000456320703960955,"1e-6",NA
1938,"BNU-ESM","r1i1p1","co2","esmHistorical",0.000457553484011441,"1e-6",NA
1939,"BNU-ESM","r1i1p1","co2","esmHistorical",0.000458083959529176,"1e-6",NA
1940,"BNU-ESM","r1i1p1","co2","esmHistorical",0.000458562659332529,"1e-6",NA
1941,"BNU-ESM","r1i1p1","co2","esmHistorical",0.000459541421150789,"1e-6",NA
1942,"BNU-ESM","r1i1p1","co2","esmHistorical",0.000461307121440768,"1e-6",NA
1943,"BNU-ESM","r1i1p1","co2","esmHistorical",0.000462472002254799,"1e-6",NA
1944,"BNU-ESM","r1i1p1","co2","esmHistorical",0.000461945368442684,"1e-6",NA
1945,"BNU-ESM","r1i1p1","co2","esmHistorical",0.000462446390883997,"1e-6",NA
1946,"BNU-ESM","r1i1p1","co2","esmHistorical",0.000463821459561586,"1e-6",NA
1947,"BNU-ESM","r1i1p1","co2","esmHistorical",0.000464566342998296,"1e-6",NA
1948,"BNU-ESM","r1i1p1","co2","esmHistorical",0.000465900637209415,"1e-6",NA
1949,"BNU-ESM","r1i1p1","co2","esmHistorical",0.000467464938992634,"1e-6",NA
1950,"BNU-ESM","r1i1p1","co2","esmHistorical",0.000468018901301548,"1e-6",NA
1951,"BNU-ESM","r1i1p1","co2","esmHistorical",0.000469205755507573,"1e-6",NA
