"year","variable","ensemble","model","experiment","value","problem"
1850,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.592644244432449,NA
1851,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.750255544980367,NA
1852,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.309087912241618,NA
1853,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.700794100761414,NA
1854,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.881771107514699,NA
1855,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.422506372133891,NA
1856,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.249696413675944,NA
1857,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",-0.54598613580068,NA
1858,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.580866972605387,NA
1859,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.437045772870382,NA
1860,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.800824920336405,NA
1861,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",1.34116254250209,NA
1862,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.904878298441569,NA
1863,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",-0.0451291799545288,NA
1864,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.729728142420451,NA
1865,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.368552734454473,NA
1866,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.878325700759888,NA
1867,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.731004476547241,NA
1868,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.594680110613505,NA
1869,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.440938095251719,NA
1870,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.69605420033137,NA
1871,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.650782326857249,NA
1872,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.834022641181946,NA
1873,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.715166330337524,NA
1874,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.548250615596771,NA
1875,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.657718380292257,NA
1876,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.111735910177231,NA
1877,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.969247321287791,NA
1878,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.621296793222427,NA
1879,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.754463404417038,NA
1880,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.682035366694132,NA
1881,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",1.03160355488459,NA
1882,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.729244669278463,NA
1883,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",-1.01904722054799,NA
1884,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",-2.01174384355545,NA
1885,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.0625111361344655,NA
1886,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",1.64501748730739,NA
1887,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.716520508130391,NA
1888,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",1.10246862967809,NA
1889,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.805034041404724,NA
1890,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",-1.20133191347122,NA
1891,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",-0.285738706588745,NA
1892,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",1.20455914735794,NA
1893,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",1.48132961988449,NA
1894,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",1.1818235317866,NA
1895,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",1.27786551912626,NA
1896,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.781822244326274,NA
1897,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",1.05111881097158,NA
1898,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.99567570288976,NA
1899,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.544231792291005,NA
1900,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.935918033123016,NA
1901,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",1.08765140175819,NA
1902,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",-0.1167840162913,NA
1903,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",-1.97415769100189,NA
1904,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.234644691149394,NA
1905,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",1.1975019176801,NA
1906,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",1.22187362611294,NA
1907,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",1.38828638195992,NA
1908,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",1.17571351925532,NA
1909,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",1.18772199253241,NA
1910,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",1.10144897301992,NA
1911,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.955104569594065,NA
1912,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.374729514122009,NA
1913,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.356088958059748,NA
1914,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.896491050720215,NA
1915,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",1.46816231807073,NA
1916,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.701681613922119,NA
1917,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.720667739709218,NA
1918,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.933355242013931,NA
1919,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.904659728209178,NA
1920,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.904972950617472,NA
1921,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.227389653523763,NA
1922,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.29846602678299,NA
1923,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.937112549940745,NA
1924,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.878100156784058,NA
1925,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.79003927608331,NA
1926,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",1.06310242414474,NA
1927,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.861102163791656,NA
1928,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.334722797075907,NA
1929,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.335666954517365,NA
1930,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.79322941104571,NA
1931,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.882680495580037,NA
1932,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.430414547522863,NA
1933,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.714425265789032,NA
1934,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",1.03466735283534,NA
1935,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",1.21398041645686,NA
1936,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.761843303839366,NA
1937,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.977594090004762,NA
1938,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.939072370529175,NA
1939,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.768559734026591,NA
1940,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.30284188191096,NA
1941,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",1.3838950296243,NA
