"year","variable","ensemble","model","experiment","value","unit"
2006,"heatflux","r10i1p1","CNRM-CM5","rcp85",1.24212904771169,"W/m2"
2007,"heatflux","r10i1p1","CNRM-CM5","rcp85",0.979140381018321,"W/m2"
2008,"heatflux","r10i1p1","CNRM-CM5","rcp85",2.0621294255058,"W/m2"
2009,"heatflux","r10i1p1","CNRM-CM5","rcp85",1.56538999080658,"W/m2"
2010,"heatflux","r10i1p1","CNRM-CM5","rcp85",1.97840376694997,"W/m2"
2011,"heatflux","r10i1p1","CNRM-CM5","rcp85",1.15242950121562,"W/m2"
2012,"heatflux","r10i1p1","CNRM-CM5","rcp85",1.94444970289866,"W/m2"
2013,"heatflux","r10i1p1","CNRM-CM5","rcp85",1.76564435164134,"W/m2"
2014,"heatflux","r10i1p1","CNRM-CM5","rcp85",1.15858300526937,"W/m2"
2015,"heatflux","r10i1p1","CNRM-CM5","rcp85",1.61046785116196,"W/m2"
2016,"heatflux","r10i1p1","CNRM-CM5","rcp85",1.97881455222766,"W/m2"
2017,"heatflux","r10i1p1","CNRM-CM5","rcp85",1.58862965305646,"W/m2"
2018,"heatflux","r10i1p1","CNRM-CM5","rcp85",2.00280332565308,"W/m2"
2019,"heatflux","r10i1p1","CNRM-CM5","rcp85",1.29329319794973,"W/m2"
2020,"heatflux","r10i1p1","CNRM-CM5","rcp85",1.47603782018026,"W/m2"
2021,"heatflux","r10i1p1","CNRM-CM5","rcp85",1.81802420814832,"W/m2"
2022,"heatflux","r10i1p1","CNRM-CM5","rcp85",1.94719119866689,"W/m2"
2023,"heatflux","r10i1p1","CNRM-CM5","rcp85",1.29697779814402,"W/m2"
2024,"heatflux","r10i1p1","CNRM-CM5","rcp85",2.29182867209117,"W/m2"
2025,"heatflux","r10i1p1","CNRM-CM5","rcp85",2.06540137529373,"W/m2"
2026,"heatflux","r10i1p1","CNRM-CM5","rcp85",2.34758043289185,"W/m2"
2027,"heatflux","r10i1p1","CNRM-CM5","rcp85",2.20077820618947,"W/m2"
2028,"heatflux","r10i1p1","CNRM-CM5","rcp85",2.22584656874339,"W/m2"
2029,"heatflux","r10i1p1","CNRM-CM5","rcp85",2.33573531607787,"W/m2"
2030,"heatflux","r10i1p1","CNRM-CM5","rcp85",1.93945387999217,"W/m2"
2031,"heatflux","r10i1p1","CNRM-CM5","rcp85",2.37139834463596,"W/m2"
2032,"heatflux","r10i1p1","CNRM-CM5","rcp85",1.96552280584971,"W/m2"
2033,"heatflux","r10i1p1","CNRM-CM5","rcp85",1.82209891080856,"W/m2"
2034,"heatflux","r10i1p1","CNRM-CM5","rcp85",2.69436079263687,"W/m2"
2035,"heatflux","r10i1p1","CNRM-CM5","rcp85",2.27415521939596,"W/m2"
2036,"heatflux","r10i1p1","CNRM-CM5","rcp85",2.09627420206865,"W/m2"
2037,"heatflux","r10i1p1","CNRM-CM5","rcp85",1.90300973256429,"W/m2"
2038,"heatflux","r10i1p1","CNRM-CM5","rcp85",1.82416814565659,"W/m2"
2039,"heatflux","r10i1p1","CNRM-CM5","rcp85",2.3050288160642,"W/m2"
2040,"heatflux","r10i1p1","CNRM-CM5","rcp85",2.74923255046209,"W/m2"
2041,"heatflux","r10i1p1","CNRM-CM5","rcp85",2.24328114589055,"W/m2"
2042,"heatflux","r10i1p1","CNRM-CM5","rcp85",2.99905600150426,"W/m2"
2043,"heatflux","r10i1p1","CNRM-CM5","rcp85",2.44772333403428,"W/m2"
2044,"heatflux","r10i1p1","CNRM-CM5","rcp85",2.87326714396477,"W/m2"
2045,"heatflux","r10i1p1","CNRM-CM5","rcp85",2.13175400098165,"W/m2"
2046,"heatflux","r10i1p1","CNRM-CM5","rcp85",2.75999483093619,"W/m2"
2047,"heatflux","r10i1p1","CNRM-CM5","rcp85",2.73580204943816,"W/m2"
2048,"heatflux","r10i1p1","CNRM-CM5","rcp85",2.26066225767136,"W/m2"
2049,"heatflux","r10i1p1","CNRM-CM5","rcp85",3.04028024276098,"W/m2"
2050,"heatflux","r10i1p1","CNRM-CM5","rcp85",2.18362563848495,"W/m2"
2051,"heatflux","r10i1p1","CNRM-CM5","rcp85",2.09133764108022,"W/m2"
2052,"heatflux","r10i1p1","CNRM-CM5","rcp85",2.8479475180308,"W/m2"
2053,"heatflux","r10i1p1","CNRM-CM5","rcp85",2.3589933514595,"W/m2"
2054,"heatflux","r10i1p1","CNRM-CM5","rcp85",3.24307523171107,"W/m2"
2055,"heatflux","r10i1p1","CNRM-CM5","rcp85",3.10578205188115,"W/m2"
2056,"heatflux","r10i1p1","CNRM-CM5","rcp85",2.17992273718119,"W/m2"
2057,"heatflux","r10i1p1","CNRM-CM5","rcp85",2.74259402354558,"W/m2"
2058,"heatflux","r10i1p1","CNRM-CM5","rcp85",2.6947350303332,"W/m2"
2059,"heatflux","r10i1p1","CNRM-CM5","rcp85",3.01286646252265,"W/m2"
2060,"heatflux","r10i1p1","CNRM-CM5","rcp85",2.88434153795242,"W/m2"
2061,"heatflux","r10i1p1","CNRM-CM5","rcp85",2.56654311219851,"W/m2"
2062,"heatflux","r10i1p1","CNRM-CM5","rcp85",2.87134735907118,"W/m2"
2063,"heatflux","r10i1p1","CNRM-CM5","rcp85",2.26228218277295,"W/m2"
2064,"heatflux","r10i1p1","CNRM-CM5","rcp85",3.30897707740466,"W/m2"
2065,"heatflux","r10i1p1","CNRM-CM5","rcp85",2.76124443610509,"W/m2"
2066,"heatflux","r10i1p1","CNRM-CM5","rcp85",2.40449327416718,"W/m2"
2067,"heatflux","r10i1p1","CNRM-CM5","rcp85",3.30295933286349,"W/m2"
2068,"heatflux","r10i1p1","CNRM-CM5","rcp85",2.87700230876605,"W/m2"
2069,"heatflux","r10i1p1","CNRM-CM5","rcp85",3.54091880718867,"W/m2"
2070,"heatflux","r10i1p1","CNRM-CM5","rcp85",2.49647983908653,"W/m2"
2071,"heatflux","r10i1p1","CNRM-CM5","rcp85",3.00175614158312,"W/m2"
2072,"heatflux","r10i1p1","CNRM-CM5","rcp85",2.97517736752828,"W/m2"
2073,"heatflux","r10i1p1","CNRM-CM5","rcp85",3.07257016499837,"W/m2"
2074,"heatflux","r10i1p1","CNRM-CM5","rcp85",2.69175707300504,"W/m2"
2075,"heatflux","r10i1p1","CNRM-CM5","rcp85",3.17358890672525,"W/m2"
2076,"heatflux","r10i1p1","CNRM-CM5","rcp85",2.82184221347173,"W/m2"
2077,"heatflux","r10i1p1","CNRM-CM5","rcp85",2.77706956863403,"W/m2"
2078,"heatflux","r10i1p1","CNRM-CM5","rcp85",3.17701804637909,"W/m2"
2079,"heatflux","r10i1p1","CNRM-CM5","rcp85",3.55075880885124,"W/m2"
2080,"heatflux","r10i1p1","CNRM-CM5","rcp85",3.23527415593465,"W/m2"
2081,"heatflux","r10i1p1","CNRM-CM5","rcp85",2.76396894951661,"W/m2"
2082,"heatflux","r10i1p1","CNRM-CM5","rcp85",3.28354523082574,"W/m2"
2083,"heatflux","r10i1p1","CNRM-CM5","rcp85",2.6741392215093,"W/m2"
2084,"heatflux","r10i1p1","CNRM-CM5","rcp85",3.01519463459651,"W/m2"
2085,"heatflux","r10i1p1","CNRM-CM5","rcp85",3.57556987802188,"W/m2"
2086,"heatflux","r10i1p1","CNRM-CM5","rcp85",2.71833065648874,"W/m2"
