"year","variable","ensemble","model","experiment","value"
2006,"heatflux","r10i1p1","CNRM-CM5","rcp85",1.24212904771169
2007,"heatflux","r10i1p1","CNRM-CM5","rcp85",0.979140381018321
2008,"heatflux","r10i1p1","CNRM-CM5","rcp85",2.0621294255058
2009,"heatflux","r10i1p1","CNRM-CM5","rcp85",1.56538999080658
2010,"heatflux","r10i1p1","CNRM-CM5","rcp85",1.97840376694997
2011,"heatflux","r10i1p1","CNRM-CM5","rcp85",1.15242950121562
2012,"heatflux","r10i1p1","CNRM-CM5","rcp85",1.94444970289866
2013,"heatflux","r10i1p1","CNRM-CM5","rcp85",1.76564435164134
2014,"heatflux","r10i1p1","CNRM-CM5","rcp85",1.15858300526937
2015,"heatflux","r10i1p1","CNRM-CM5","rcp85",1.61046785116196
2016,"heatflux","r10i1p1","CNRM-CM5","rcp85",1.97881455222766
2017,"heatflux","r10i1p1","CNRM-CM5","rcp85",1.58862965305646
2018,"heatflux","r10i1p1","CNRM-CM5","rcp85",2.00280332565308
2019,"heatflux","r10i1p1","CNRM-CM5","rcp85",1.29329319794973
2020,"heatflux","r10i1p1","CNRM-CM5","rcp85",1.47603782018026
2021,"heatflux","r10i1p1","CNRM-CM5","rcp85",1.81802420814832
2022,"heatflux","r10i1p1","CNRM-CM5","rcp85",1.94719119866689
2023,"heatflux","r10i1p1","CNRM-CM5","rcp85",1.29697779814402
2024,"heatflux","r10i1p1","CNRM-CM5","rcp85",2.29182867209117
2025,"heatflux","r10i1p1","CNRM-CM5","rcp85",2.06540137529373
2026,"heatflux","r10i1p1","CNRM-CM5","rcp85",2.34758043289185
2027,"heatflux","r10i1p1","CNRM-CM5","rcp85",2.20077820618947
2028,"heatflux","r10i1p1","CNRM-CM5","rcp85",2.22584656874339
2029,"heatflux","r10i1p1","CNRM-CM5","rcp85",2.33573531607787
2030,"heatflux","r10i1p1","CNRM-CM5","rcp85",1.93945387999217
2031,"heatflux","r10i1p1","CNRM-CM5","rcp85",2.37139834463596
2032,"heatflux","r10i1p1","CNRM-CM5","rcp85",1.96552280584971
2033,"heatflux","r10i1p1","CNRM-CM5","rcp85",1.82209891080856
2034,"heatflux","r10i1p1","CNRM-CM5","rcp85",2.69436079263687
2035,"heatflux","r10i1p1","CNRM-CM5","rcp85",2.27415521939596
2036,"heatflux","r10i1p1","CNRM-CM5","rcp85",2.09627420206865
2037,"heatflux","r10i1p1","CNRM-CM5","rcp85",1.90300973256429
2038,"heatflux","r10i1p1","CNRM-CM5","rcp85",1.82416814565659
2039,"heatflux","r10i1p1","CNRM-CM5","rcp85",2.3050288160642
