"year","model","ensemble","variable","experiment","value","unit"
2006,"MIROC-ESM","r1i1p1","co2","esmrcp85",392.076293945312,"1e-6"
2007,"MIROC-ESM","r1i1p1","co2","esmrcp85",395.642669677734,"1e-6"
2008,"MIROC-ESM","r1i1p1","co2","esmrcp85",398.560089111328,"1e-6"
2009,"MIROC-ESM","r1i1p1","co2","esmrcp85",400.916687011719,"1e-6"
2010,"MIROC-ESM","r1i1p1","co2","esmrcp85",403.458404541016,"1e-6"
2011,"MIROC-ESM","r1i1p1","co2","esmrcp85",406.573364257812,"1e-6"
2012,"MIROC-ESM","r1i1p1","co2","esmrcp85",409.788848876953,"1e-6"
2013,"MIROC-ESM","r1i1p1","co2","esmrcp85",411.646148681641,"1e-6"
2014,"MIROC-ESM","r1i1p1","co2","esmrcp85",413.730682373047,"1e-6"
2015,"MIROC-ESM","r1i1p1","co2","esmrcp85",416.992309570312,"1e-6"
2016,"MIROC-ESM","r1i1p1","co2","esmrcp85",420.030212402344,"1e-6"
2017,"MIROC-ESM","r1i1p1","co2","esmrcp85",422.925903320312,"1e-6"
2018,"MIROC-ESM","r1i1p1","co2","esmrcp85",427.212127685547,"1e-6"
2019,"MIROC-ESM","r1i1p1","co2","esmrcp85",431.349578857422,"1e-6"
2020,"MIROC-ESM","r1i1p1","co2","esmrcp85",435.443756103516,"1e-6"
2021,"MIROC-ESM","r1i1p1","co2","esmrcp85",440.837005615234,"1e-6"
2022,"MIROC-ESM","r1i1p1","co2","esmrcp85",445.271636962891,"1e-6"
2023,"MIROC-ESM","r1i1p1","co2","esmrcp85",449.057586669922,"1e-6"
2024,"MIROC-ESM","r1i1p1","co2","esmrcp85",452.672912597656,"1e-6"
2025,"MIROC-ESM","r1i1p1","co2","esmrcp85",457.745544433594,"1e-6"
2026,"MIROC-ESM","r1i1p1","co2","esmrcp85",463.474151611328,"1e-6"
2027,"MIROC-ESM","r1i1p1","co2","esmrcp85",468.64306640625,"1e-6"
2028,"MIROC-ESM","r1i1p1","co2","esmrcp85",473.864868164062,"1e-6"
2029,"MIROC-ESM","r1i1p1","co2","esmrcp85",478.035766601562,"1e-6"
2030,"MIROC-ESM","r1i1p1","co2","esmrcp85",481.746551513672,"1e-6"
2031,"MIROC-ESM","r1i1p1","co2","esmrcp85",485.64990234375,"1e-6"
2032,"MIROC-ESM","r1i1p1","co2","esmrcp85",490.032775878906,"1e-6"
2033,"MIROC-ESM","r1i1p1","co2","esmrcp85",494.804107666016,"1e-6"
2034,"MIROC-ESM","r1i1p1","co2","esmrcp85",500.031188964844,"1e-6"
2035,"MIROC-ESM","r1i1p1","co2","esmrcp85",505.098999023438,"1e-6"
2036,"MIROC-ESM","r1i1p1","co2","esmrcp85",510.884307861328,"1e-6"
2037,"MIROC-ESM","r1i1p1","co2","esmrcp85",516.28271484375,"1e-6"
2038,"MIROC-ESM","r1i1p1","co2","esmrcp85",521.622131347656,"1e-6"
2039,"MIROC-ESM","r1i1p1","co2","esmrcp85",526.744506835938,"1e-6"
2040,"MIROC-ESM","r1i1p1","co2","esmrcp85",533.217163085938,"1e-6"
2041,"MIROC-ESM","r1i1p1","co2","esmrcp85",540.108459472656,"1e-6"
2042,"MIROC-ESM","r1i1p1","co2","esmrcp85",546.000915527344,"1e-6"
2043,"MIROC-ESM","r1i1p1","co2","esmrcp85",551.166870117188,"1e-6"
2044,"MIROC-ESM","r1i1p1","co2","esmrcp85",556.441223144531,"1e-6"
2045,"MIROC-ESM","r1i1p1","co2","esmrcp85",562.616638183594,"1e-6"
