"year","value","variable","ensemble","model","experiment"
1850,0.592644274234772,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
1851,0.750255525112152,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
1852,0.309087961912155,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
1853,0.700794100761414,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
1854,0.88177102804184,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
1855,0.422506481409073,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
1856,0.249696478247643,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
1857,-0.545986294746399,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
1858,0.580866992473602,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
1859,0.437045693397522,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
1860,0.80082494020462,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
1861,1.34116268157959,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
1862,0.904878437519073,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
1863,-0.045129332691431,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
1864,0.729728102684021,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
1865,0.368552684783936,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
1866,0.878325641155243,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
1867,0.731004536151886,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
1868,0.594680070877075,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
1869,0.440938085317612,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
1870,0.696054220199585,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
1871,0.650782287120819,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
1872,0.834022641181946,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
1873,0.715166330337524,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
1874,0.548250615596771,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
1875,0.657718598842621,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
1876,0.11173590272665,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
1877,0.969247400760651,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
1878,0.62129670381546,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
1879,0.754463315010071,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
1880,0.682035386562347,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
1881,1.03160381317139,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
1882,0.729244768619537,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
1883,-1.01904726028442,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
1884,-2.01174402236938,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
1885,0.0625110790133476,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
1886,1.64501750469208,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
1887,0.716520488262177,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
1888,1.10246860980988,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
1889,0.805034041404724,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
1890,-1.20133185386658,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
